gene,tissue,trait,zscore,pvalue,n_snps_model,n_snps_matched
MFAP1,Whole_Blood,DN,3.2953,0.0009832034577248235,1,1
PAM,Whole_Blood,DN,-0.5945,0.5521663994570822,1,1
PCBP2,Whole_Blood,DN,-0.9323,0.3511735260864709,1,1
PDIA3,Whole_Blood,DN,1.3674,0.1715046854629614,2,2
PDIA6,Whole_Blood,DN,0.7765,0.43743342208311586,1,1
PNN,Whole_Blood,DN,6.7058,2.002514006524222e-11,2,2
PPARG,Whole_Blood,DN,0.2355,0.8138560739572558,1,1
PUF60,Whole_Blood,DN,0.8636,0.38781218841873716,1,1
RNH1,Whole_Blood,DN,7.028,2.095854338306361e-12,3,3
RPL10A,Whole_Blood,DN,-45.0479,0.0,3,2
RPL14,Whole_Blood,DN,-0.4695,0.6386848414613935,2,2
RPL27A,Whole_Blood,DN,0.8632,0.38800207710934637,2,2
RPL5,Whole_Blood,DN,-2.0563,0.039749764306134035,1,1
RPL8,Whole_Blood,DN,0.6471,0.517568161449689,2,1
RPLP0,Whole_Blood,DN,4.3313,1.4825465253887587e-05,2,2
RPN1,Whole_Blood,DN,1.471,0.14128251143309017,2,1
RPS14,Whole_Blood,DN,6.5269,6.714849880649818e-11,3,2
RPS16,Whole_Blood,DN,-1.355,0.17540271260931417,1,1
RPS18,Whole_Blood,DN,9.6069,7.473840010150923e-22,2,2
RPS25,Whole_Blood,DN,-2.0838,0.03718239455306019,2,2
RPS8,Whole_Blood,DN,6.8474,7.518629784142096e-12,1,1
RRBP1,Whole_Blood,DN,1.3665,0.17178793540676587,2,2
ST6GAL1,Whole_Blood,DN,-2.8081,0.004982776345774975,1,1
TUBB,Whole_Blood,DN,3.0983,0.0019463426849975528,1,1
UBA52,Whole_Blood,DN,0.4208,0.6738717509360881,2,2
VCP,Whole_Blood,DN,1.8678,0.06179533849084412,2,2
XRCC5,Whole_Blood,DN,9.3545,8.398646228782451e-21,3,3
XRCC6,Whole_Blood,DN,-8.3745,5.545845788941848e-17,2,2
YWHAQ,Whole_Blood,DN,0.2723,0.7853856359542766,1,1
ACTB,Nerve_Tibial,DPN,0.6193,0.5357021447316415,1,1
ANXA1,Nerve_Tibial,DPN,-17.414,6.462015568740051e-68,1,1
ANXA5,Nerve_Tibial,DPN,1.8899,0.05877292242181049,3,3
APPL1,Nerve_Tibial,DPN,-10.0079,1.4065995821382567e-23,1,1
ARAP1,Nerve_Tibial,DPN,1.0072,0.31384227364123773,2,2
C1QBP,Nerve_Tibial,DPN,-4.4759,7.6103732545898125e-06,2,2
CAMK1D,Nerve_Tibial,DPN,1.9132,0.05571986805828575,2,1
CDKAL1,Nerve_Tibial,DPN,-1.5143,0.12994468689667224,3,3
DDX5,Nerve_Tibial,DPN,-1.0683,0.2853964509179185,1,1
DHX9,Nerve_Tibial,DPN,7.9564,1.7718697888793757e-15,1,1
DUSP8,Nerve_Tibial,DPN,1.4254,0.1540309916336558,2,1
EHD4,Nerve_Tibial,DPN,-1.5296,0.12610547060507196,3,3
EIF4A1,Nerve_Tibial,DPN,0.4719,0.6369872092115507,1,1
FTO,Nerve_Tibial,DPN,-12.8992,4.547462963785718e-38,1,1
GAPDH,Nerve_Tibial,DPN,2.6374,0.008354394099474019,2,2
GCK,Nerve_Tibial,DPN,-0.0864,0.9311745699899361,3,3
GCKR,Nerve_Tibial,DPN,-3.9335,8.372721722947636e-05,1,1
GRB14,Nerve_Tibial,DPN,1.5633,0.1179746153342792,1,1
H2AFV,Nerve_Tibial,DPN,3.3723,0.0007455237753232542,2,2
HHEX,Nerve_Tibial,DPN,2.8637,0.004187037519157206,1,1
HNRNPA3,Nerve_Tibial,DPN,2.9942,0.0027514647577058624,1,1
HSP90AB1,Nerve_Tibial,DPN,10.9345,7.882108310034597e-28,3,3
JAZF1,Nerve_Tibial,DPN,0.2166,0.8285253094749793,2,2
KCNJ11,Nerve_Tibial,DPN,-0.0405,0.9677029088631971,2,2
MYH9,Nerve_Tibial,DPN,-0.5727,0.5668343291494132,2,2
PDIA3,Nerve_Tibial,DPN,9.9541,2.4196321627895087e-23,1,1
PNN,Nerve_Tibial,DPN,-11.7588,6.36288952254956e-32,1,1
PPARG,Nerve_Tibial,DPN,-1.1876,0.23499717883933566,1,1
PROX1,Nerve_Tibial,DPN,-1.8998,0.05745927109479782,1,1
PUF60,Nerve_Tibial,DPN,1.3391,0.1805535826713342,1,1
RNH1,Nerve_Tibial,DPN,8.5736,1.0026420404644203e-17,4,4
RPL10A,Nerve_Tibial,DPN,-2.6557,0.007913521300349892,5,5
RPL13A,Nerve_Tibial,DPN,0.8092,0.4184117719715323,1,1
RPL14,Nerve_Tibial,DPN,-2.0941,0.036250947857214534,1,1
RPL23A,Nerve_Tibial,DPN,7.6632,1.8139304499362655e-14,1,1
RPL27A,Nerve_Tibial,DPN,-2.3643,0.018065356711238226,2,2
RPL7,Nerve_Tibial,DPN,-1.0026,0.31605958232326314,1,1
RPL8,Nerve_Tibial,DPN,-2.1896,0.028555195709086354,1,1
RPLP0,Nerve_Tibial,DPN,1.0583,0.28990761629509026,2,2
RPN1,Nerve_Tibial,DPN,2.9578,0.003098517706897744,3,1
RPS14,Nerve_Tibial,DPN,-1.3772,0.16843635161613163,3,1
RPS16,Nerve_Tibial,DPN,2.0639,0.03903053372669688,2,2
RPS18,Nerve_Tibial,DPN,9.9256,3.221766827424155e-23,2,2
RPS25,Nerve_Tibial,DPN,2.2843,0.022352700245177996,2,1
RPS3,Nerve_Tibial,DPN,-0.5073,0.6119553534392512,2,1
RPS3A,Nerve_Tibial,DPN,-6.2233,4.869561126823951e-10,2,1
RPS8,Nerve_Tibial,DPN,2.7498,0.005963268853553881,1,1
RRBP1,Nerve_Tibial,DPN,0.9096,0.3630179687544874,3,3
RREB1,Nerve_Tibial,DPN,1.9316,0.05340327487233223,1,1
SLC16A11,Nerve_Tibial,DPN,11.8045,3.6990257001725477e-32,1,1
TUBB,Nerve_Tibial,DPN,1.1674,0.24305701535092675,1,1
UBA52,Nerve_Tibial,DPN,-1.9494,0.05124381955162912,2,2
VCP,Nerve_Tibial,DPN,-2.6803,0.007355883300462234,2,2
XRCC5,Nerve_Tibial,DPN,1.8105,0.07021308201939158,3,2
XRCC6,Nerve_Tibial,DPN,-0.0151,0.9879487415149784,2,2
ACTB,Whole_Blood,DPN,1.4941,0.13515951936636234,1,1
ANXA1,Whole_Blood,DPN,6.5321,6.4869267896017e-11,3,3
ANXA5,Whole_Blood,DPN,-7.9752,1.5217051183228102e-15,4,4
C1QBP,Whole_Blood,DPN,-1.8171,0.06920785814675226,1,1
CAMK1D,Whole_Blood,DPN,-2.2566,0.024035496878195787,2,2
CCT3,Whole_Blood,DPN,2.568,0.01022834543741765,1,1
CDKAL1,Whole_Blood,DPN,0.9555,0.3392996943147763,2,2
CKAP4,Whole_Blood,DPN,4.7995,1.5907700230156808e-06,1,1
DDX5,Whole_Blood,DPN,-1.0683,0.2853964509179185,1,1
EEF2,Whole_Blood,DPN,3.274,0.0010602809328224183,2,2
EHD4,Whole_Blood,DPN,-9.0387,1.5858223164053597e-19,4,3
EIF4H,Whole_Blood,DPN,-0.8204,0.4119600323556007,2,2
FTO,Whole_Blood,DPN,-2.0606,0.039343082526628374,2,2
GCKR,Whole_Blood,DPN,-3.9335,8.372721722947592e-05,1,1
GNA13,Whole_Blood,DPN,3.9429,8.048743249025492e-05,1,1
GRB14,Whole_Blood,DPN,-6.2231,4.873806212658033e-10,1,1
H2AFV,Whole_Blood,DPN,0.0976,0.9222860958022255,2,2
HHEX,Whole_Blood,DPN,2.8636,0.004188571357481139,2,1
HSP90AB1,Whole_Blood,DPN,-1.7674,0.07716608605420198,2,2
HSP90B1,Whole_Blood,DPN,4.5238,6.074263732040903e-06,1,1
HSPB1,Whole_Blood,DPN,2.113,0.03460270489307548,2,2
HSPD1,Whole_Blood,DPN,-0.9007,0.36773578320893924,1,1
JAZF1,Whole_Blood,DPN,-0.8571,0.39139850118467623,3,2
KCNJ11,Whole_Blood,DPN,0.7245,0.46878347519812036,1,1
KLF14,Whole_Blood,DPN,-0.5335,0.5936670043968275,1,1
