gene,trait,p_acat,n_tissues,in_both
CDC5L,DN,0.004547544687673645,1,True
CDC5L,DPN,1.6546912711921703e-286,1,True
CDC5L,DR,7.266681086963763e-102,1,True
CDKN1B,DN,1.7209823858068408e-10,2,True
CDKN1B,DPN,0.005870499566406188,2,True
CDKN1B,DR,0.08282525997941198,2,True
CEBPZOS,DN,0.0005765503163397007,2,True
CEBPZOS,DPN,0.01623677546427993,2,True
CEBPZOS,DR,0.2290449665338502,2,True
CFDP1,DN,1.0,2,True
CFDP1,DPN,1.0,2,True
CFDP1,DR,0.14314621244409204,2,True
CFL1,DN,0.03780410407748738,2,True
CFL1,DPN,0.01029531689870453,2,True
CFL1,DR,1.0,2,True
CGGBP1,DN,9.439901687758753e-12,2,True
CGGBP1,DPN,8.102925395058613e-47,2,True
CGGBP1,DR,1.9327409229717634e-15,2,True
CHMP2A,DN,0.029432472734283257,2,True
CHMP2A,DPN,0.00022258228614544727,2,True
CHMP2A,DR,1.0898119660334997e-05,2,True
CHMP2B,DN,0.27940744662407213,2,True
CHMP2B,DPN,0.005684678985474935,2,True
CHMP2B,DR,6.343575766701159e-07,2,True
CHMP3,DN,0.00018492405438190273,2,True
CHMP3,DPN,0.04555905830672201,2,True
CHMP3,DR,1.0,2,True
CHMP4B,DN,0.04460633193431444,2,True
CHMP4B,DPN,0.0027533723369755955,2,True
CHMP4B,DR,1.0,2,True
CHMP6,DN,0.0640203902661542,2,True
CHMP6,DPN,1.0,2,True
CHMP6,DR,0.15990079377385238,2,True
CHTOP,DN,0.3867914023275426,1,False
CHTOP,DPN,0.2111917871073496,1,False
CHTOP,DR,0.27765140216926354,1,False
CIPC,DN,0.2626702220291365,1,False
CIPC,DPN,0.5478199811637372,1,False
CIPC,DR,0.1845264256313161,1,False
CLNS1A,DN,0.28081366863541024,2,True
CLNS1A,DPN,1.252649782496295e-05,2,True
CLNS1A,DR,0.02716639876161501,2,True
CLPP,DN,9.999999999999999e-301,2,True
CLPP,DPN,4.2783726482231345e-21,2,True
CLPP,DR,9.999999999999999e-301,2,True
CMPK1,DN,0.3379899673920515,1,True
CMPK1,DPN,0.017660417763759362,1,True
CMPK1,DR,0.009765956077818655,1,True
CNBP,DN,0.06628685194347861,2,True
CNBP,DPN,2.4334086500978235e-08,2,True
CNBP,DR,0.05575351522002208,2,True
CNOT11,DN,2.6194416794485602e-06,2,True
CNOT11,DPN,1.7035069622857673e-61,2,True
CNOT11,DR,6.494656251878043e-30,2,True
CNPPD1,DN,5.500813580524432e-12,1,True
CNPPD1,DPN,0.6126147572888464,1,True
CNPPD1,DR,9.684749017992202e-13,1,True
COA5,DN,0.39629230276036453,1,False
COA5,DPN,0.25303603702379773,1,False
COA5,DR,0.026993803850910873,1,False
COA6,DN,0.6507812193712222,1,False
COA6,DPN,2.494946600660843e-35,1,False
COA6,DR,0.3762308755242767,1,False
COG3,DN,0.3457164603738559,1,True
COG3,DPN,0.07084399643450835,1,True
COG3,DR,0.7141007423047547,1,True
COG7,DN,3.0106803438061055e-55,2,True
COG7,DPN,1.1380466450414947e-06,2,True
