gene,trait,grp,z_Nerve_Tibial,z_Whole_Blood,n_snps_matched_NT,n_snps_matched_WB,p_ACAT_O,n_tissues,z_ACAT_O
DCTN2,DR,HK_v2,3.7145,3.7145,1.0,1.0,0.00010180294534915407,2,3.886254103663358
DDX5,DN,30 HOTAIR Candidate,1.5011,1.5011,1.0,1.0,0.06972134485582879,2,1.813716750720154
DDX5,DPN,30 HOTAIR Candidate,-1.0683,-1.0683,1.0,1.0,0.17795692132946997,2,-1.3470723839847611
DDX5,DR,30 HOTAIR Candidate,1.1656,1.1656,1.0,1.0,0.14266209074191802,2,1.4659493326285982
DHX9,DN,44 Non-Candidate,3.9565,,1.0,,7.605588830872445e-05,1,3.9565
DHX9,DPN,44 Non-Candidate,7.9564,,1.0,,1.7711715962592532e-15,1,7.9564
DHX9,DR,44 Non-Candidate,2.0696,,1.0,,0.03848981807419504,1,2.0695999999999994
DNAJC4,DN,HK_v2,-0.2404,-2.0976,2.0,2.0,0.04305906015521045,2,-2.0231366567375204
DNAJC4,DPN,HK_v2,9.1307,5.0165,2.0,2.0,6.805779529968626e-20,2,9.130700000000015
DNAJC4,DR,HK_v2,8.3521,1.7116,2.0,2.0,6.705984799209445e-17,2,8.3521
DUSP8,DN,30 T2DM Control,-1.1506,,1.0,,0.24989683300466567,1,-1.1505999999999998
DUSP8,DPN,30 T2DM Control,1.4254,,1.0,,0.15404160807171224,1,1.4253999999999998
DUSP8,DR,30 T2DM Control,-2.0892,,1.0,,0.036689723442869054,1,-2.0892
E2F4,DN,HK_v2,3.7,3.2694,2.0,2.0,0.00017965969832111505,2,3.746023598178274
E2F4,DPN,HK_v2,4.5515,3.9353,2.0,2.0,5.005606610242724e-06,2,4.564552611881259
E2F4,DR,HK_v2,0.2864,-1.1349,2.0,2.0,1.0,2,1.8669045833583425e-59
EEF2,DN,44 Non-Candidate,,-0.1918,,2.0,0.8478988709638905,1,-0.19179999999999992
EEF2,DPN,44 Non-Candidate,,3.274,,2.0,0.0010603661131208379,1,3.274
EEF2,DR,44 Non-Candidate,,1.0465,,2.0,0.2953302449266372,1,1.0465
EHD4,DN,44 Non-Candidate,-1.339,1.5661,3.0,3.0,0.07511661872725652,2,-1.7797516183046769
EHD4,DPN,44 Non-Candidate,-1.5296,-9.0387,3.0,3.0,1.585460251571341e-19,2,-9.038699999999999
EHD4,DR,44 Non-Candidate,3.2676,12.2496,3.0,3.0,1.6882654943529512e-34,2,12.249599999999997
EIF4A1,DN,30 HOTAIR Candidate,0.0106,,1.0,,0.9915425820350333,1,0.010599999999999912
EIF4A1,DPN,30 HOTAIR Candidate,0.4719,,1.0,,0.636998168069275,1,0.4719
EIF4A1,DR,30 HOTAIR Candidate,4.5645,,1.0,,5.0068620120713804e-06,1,4.564499999999999
EIF4H,DN,30 HOTAIR Candidate,,0.0315,,2.0,0.9748707921461663,1,0.03149999999999989
EIF4H,DPN,30 HOTAIR Candidate,,-0.8204,,2.0,0.41198811548359615,1,-0.8203999999999998
EIF4H,DR,30 HOTAIR Candidate,,-1.4912,,2.0,0.13590899368800125,1,-1.4912
FIBP,DN,HK_v2,3.048,3.048,1.0,1.0,0.0011518647201669721,2,3.2505389915106893
FIBP,DPN,HK_v2,-1.2972,-1.2972,1.0,1.0,0.1072746462794467,2,-1.6105646388134573
FIBP,DR,HK_v2,-1.672,-1.672,1.0,1.0,0.04832743865195324,2,-1.9744778057311296
FTO,DN,30 T2DM Control,4.7555,19.6962,1.0,2.0,2.3242383383823565e-86,2,19.696199999999997
FTO,DPN,30 T2DM Control,-12.8992,-2.0606,1.0,2.0,4.547939619704517e-38,2,-12.8992
FTO,DR,30 T2DM Control,-0.0621,9.3398,1.0,2.0,9.651625839688518e-21,2,-9.3398
GAPDH,DN,30 HOTAIR Candidate,-2.7346,,2.0,,0.0062456121138519975,1,-2.7345999999999995
GAPDH,DPN,30 HOTAIR Candidate,2.6374,,2.0,,0.008354425376083118,1,2.6373999999999995
GAPDH,DR,30 HOTAIR Candidate,-0.0695,,2.0,,0.9445916326550257,1,-0.0694999999999999
GCK,DN,30 T2DM Control,-2.9019,,3.0,,0.003709069193890005,1,-2.9018999999999995
GCK,DPN,30 T2DM Control,-0.0864,,3.0,,0.9311484469318307,1,-0.08639999999999995
GCK,DR,30 T2DM Control,2.3971,,3.0,,0.016525413003582193,1,2.3971
