gene,ensg,trait,zscore,pvalue,n_snps_model,n_snps_matched,n_dropped,grp
GOLGA3,ENSG00000090615,DN,-3.6641,0.00024822535771300427,947,778,169,HK_v2
GRB14,ENSG00000115290,DN,1.0794,0.28041540998295134,239,231,8,T2DM_Control
H2AFV,ENSG00000105968,DN,-6.4011,1.542749345449742e-10,265,248,17,Candidate
HHEX,ENSG00000152804,DN,-4.6957,2.656414529108749e-06,1312,1243,69,T2DM_Control
HNRNPK,ENSG00000165119,DN,0.1628,0.8706393294088312,2,1,1,NonCandidate
HSP90AB1,ENSG00000096384,DN,4.0363,5.4294197723080915e-05,21,21,0,Candidate
HSP90B1,ENSG00000166598,DN,2.5985,0.009364097541755092,135,132,3,Candidate
HSPB1,ENSG00000106211,DN,3.4717,0.0005172182065904892,427,415,12,NonCandidate
HSPD1,ENSG00000144381,DN,,,0,0,0,NonCandidate
ILF2,ENSG00000143621,DN,0.8588,0.3904564551471608,153,140,13,Candidate
JAZF1,ENSG00000153814,DN,-0.4858,0.6271212785472343,869,816,53,T2DM_Control
KCNJ11,ENSG00000187486,DN,-0.1127,0.9102449110793576,467,448,19,T2DM_Control
KDM4B,ENSG00000127663,DN,-4.1722,3.0161020449046205e-05,706,658,48,HK_v2
KLF14,ENSG00000266265,DN,,,0,0,0,T2DM_Control
LSM12,ENSG00000161654,DN,-2.1812,0.029165645239451417,90,87,3,HK_v2
MAPK1IP1L,ENSG00000168175,DN,1.2643,0.20612777518760944,88,80,8,HK_v2
MCMBP,ENSG00000197771,DN,2.3076,0.021020348006064456,1577,1479,98,HK_v2
MFAP1,ENSG00000140259,DN,3.7894,0.0001510377223169423,833,773,60,NonCandidate
MYH9,ENSG00000100345,DN,-0.2684,0.7883904564376392,391,365,26,NonCandidate
NCL,ENSG00000115053,DN,-6.5139,7.324340380653141e-11,515,496,19,NonCandidate
PAM,ENSG00000145730,DN,0.2045,0.8379661960238978,5032,4670,362,T2DM_Control
PCBP2,ENSG00000197111,DN,,,0,0,0,NonCandidate
PDIA3,ENSG00000167004,DN,0.9568,0.3386605702072459,417,394,23,NonCandidate
PDIA6,ENSG00000143870,DN,2.0887,0.036738655281920614,590,565,25,NonCandidate
PNN,ENSG00000100941,DN,-6.2893,3.1884500490952807e-10,825,758,67,NonCandidate
PPARG,ENSG00000132170,DN,3.2474,0.0011646134377485226,1511,1431,80,T2DM_Control
