Gene,Trait,Tissue,Group,Z_eQTLGen,P_eQTLGen,n_SNPs_Model,n_SNPs_Matched
RPL17,DN,eQTLGen_Whole_Blood,44_NonCandidate_HOTAIR,-16.3668,0.0,1035,973
EEF2,DN,eQTLGen_Whole_Blood,44_NonCandidate_HOTAIR,0.4942,0.6211395160319286,156,144
ILF3,DN,eQTLGen_Whole_Blood,44_NonCandidate_HOTAIR,-3.6348,0.00027818844134275267,18,17
TPM4,DN,eQTLGen_Whole_Blood,44_NonCandidate_HOTAIR,-0.2789,0.7803194992969333,75,74
UBA52,DN,eQTLGen_Whole_Blood,44_NonCandidate_HOTAIR,2.5541,0.010646919559229584,536,500
RPS16,DN,eQTLGen_Whole_Blood,30_HOTAIR_Candidate,-0.98,0.32709225593635427,311,301
RPL13A,DN,eQTLGen_Whole_Blood,30_HOTAIR_Candidate,-12.6561,0.0,548,504
RRBP1,DN,eQTLGen_Whole_Blood,44_NonCandidate_HOTAIR,-7.3648,1.7741363933510002e-13,385,375
MYH9,DN,eQTLGen_Whole_Blood,44_NonCandidate_HOTAIR,-1.0861,0.2774317740388872,315,299
XRCC6,DN,eQTLGen_Whole_Blood,30_HOTAIR_Candidate,-0.4085,0.6829018761107144,69,64
ENO1,DPN,eQTLGen_Whole_Blood,44_NonCandidate_HOTAIR,-5.6332,1.7686065278965657e-08,641,624
RPS8,DPN,eQTLGen_Whole_Blood,44_NonCandidate_HOTAIR,6.3228,2.569202628421863e-10,1274,1215
ILF2,DPN,eQTLGen_Whole_Blood,30_HOTAIR_Candidate,-2.64,0.008291701516857097,128,118
CCT3,DPN,eQTLGen_Whole_Blood,44_NonCandidate_HOTAIR,10.6936,0.0,372,353
YWHAQ,DPN,eQTLGen_Whole_Blood,30_HOTAIR_Candidate,11.3215,0.0,321,306
GRB14,DPN,eQTLGen_Whole_Blood,30_T2DM_Control,-0.6713,0.5020204896202469,140,137
XRCC5,DPN,eQTLGen_Whole_Blood,30_HOTAIR_Candidate,1.2976,0.1944180383153884,281,276
PPARG,DPN,eQTLGen_Whole_Blood,30_T2DM_Control,3.5267,0.0004208328653705351,1127,1074
RPSA,DPN,eQTLGen_Whole_Blood,30_HOTAIR_Candidate,5.1486,2.6250273843508865e-07,191,180
RPL14,DPN,eQTLGen_Whole_Blood,44_NonCandidate_HOTAIR,-4.2668,1.9830329157422e-05,1159,1097
APPL1,DPN,eQTLGen_Whole_Blood,30_T2DM_Control,0.4398,0.6600972330931631,30,29
